"Open";"High";"Low";"Close";"Volume";"Day"
"2009-08-21";0.454033849901306;0.479578947368421;0.421771361685525;0.429502947952052;48518200;2009-08-21
"2009-08-24";0.433088606611506;0.447720328558391;0.409753720433332;0.422637512294772;40254850;2009-08-24
"2009-08-25";0.423946972908397;0.434986076732673;0.403140007388253;0.415686274509804;27572000;2009-08-25
"2009-08-26";0.417233046367618;0.437439228345844;0.406129558256745;0.418939393939394;27895550;2009-08-26
"2009-08-27";0.41809636620687;0.435085816124908;0.405204460966543;0.41992337164751;33880200;2009-08-27
"2009-08-28";0.421058601134216;0.423456463382358;0.404058500914077;0.414530073095618;23428150;2009-08-28
"2009-08-31";0.416256250234971;0.431155507559395;0.407753560880781;0.420426185448263;22325350;2009-08-31
"2009-09-01";0.419031339031339;0.43843725335438;0.403788822219706;0.423296225902797;29801500;2009-09-01
"2009-09-02";0.424243624267385;0.437340257211246;0.415240568078996;0.426812146496049;25139600;2009-09-02
"2009-09-03";0.428188402897275;0.436551305403764;0.414876033057851;0.425261044176707;25996150;2009-09-03
"2009-09-04";0.425026060460268;0.450188788846936;0.416706161137441;0.439943227899432;30116300;2009-09-04
"2009-09-07";0.438616251005632;0.45275139207337;0.428046637917266;0.446246973365617;18213500;2009-09-07
"2009-09-08";0.444972033318579;0.472185189673979;0.423533921042545;0.45038433311445;43100000;2009-09-08
"2009-09-09";0.449034749034749;0.4640234375;0.431632270168856;0.445132075471698;40301200;2009-09-09
"2009-09-10";0.439756577238488;0.461867839370443;0.423860689144127;0.445779924689057;28450450;2009-09-10
"2009-09-11";0.445045181292298;0.457759784075574;0.432240294785424;0.441224014134807;25426550;2009-09-11
"2009-09-14";0.442324704796338;0.463857750289911;0.414426229508197;0.438154750964896;42972350;2009-09-14
"2009-09-15";0.437607211942042;0.449814126394052;0.418201208674014;0.423829726549966;48518350;2009-09-15
"2009-09-16";0.42802936274336;0.440567066521265;0.40901152637094;0.422939068100358;42552600;2009-09-16
"2009-09-17";0.425496453900709;0.445159381702537;0.407420494699647;0.428760866362163;31006950;2009-09-17
"2009-09-18";0.428268708873936;0.439651285134526;0.413184438040346;0.417419588001446;35470400;2009-09-18
